--- first setup ---
Valid spectra: 72

--- second setup ---
Valid spectra: 72

--- third setup ---
Valid spectra: 72

=== Combined (216 total spectra) ===
                                      file               timestamp    pol  pointing_idx  az_deg
70    first setup/EOS20260311123925619.csv 2026-03-11 12:39:25.619   0deg            35    70.0
71    first setup/EOS20260311124005584.csv 2026-03-11 12:40:05.584  90deg            35    70.0
72   second setup/EOS20260311124717894.csv 2026-03-11 12:47:17.894   0deg             0     0.0
73   second setup/EOS20260311124722453.csv 2026-03-11 12:47:22.453  90deg             0     0.0
74   second setup/EOS20260311124727152.csv 2026-03-11 12:47:27.152   0deg             1     2.0
75   second setup/EOS20260311124736269.csv 2026-03-11 12:47:36.269  90deg             1     2.0
76   second setup/EOS20260311124740847.csv 2026-03-11 12:47:40.847   0deg             2     4.0
77   second setup/EOS20260311124745449.csv 2026-03-11 12:47:45.449  90deg             2     4.0
78   second setup/EOS20260311124803603.csv 2026-03-11 12:48:03.603   0deg             3     6.0
79   second setup/EOS20260311124808160.csv 2026-03-11 12:48:08.160  90deg             3     6.0
80   second setup/EOS20260311124812671.csv 2026-03-11 12:48:12.671   0deg             4     8.0
81   second setup/EOS20260311124821749.csv 2026-03-11 12:48:21.749  90deg             4     8.0
82   second setup/EOS20260311124826258.csv 2026-03-11 12:48:26.258   0deg             5    10.0
83   second setup/EOS20260311124830791.csv 2026-03-11 12:48:30.791  90deg             5    10.0
84   second setup/EOS20260311124844396.csv 2026-03-11 12:48:44.396   0deg             6    12.0
85   second setup/EOS20260311124848966.csv 2026-03-11 12:48:48.966  90deg             6    12.0
86   second setup/EOS20260311124853535.csv 2026-03-11 12:48:53.535   0deg             7    14.0
87   second setup/EOS20260311124907249.csv 2026-03-11 12:49:07.249  90deg             7    14.0
88   second setup/EOS20260311124911796.csv 2026-03-11 12:49:11.796   0deg             8    16.0
89   second setup/EOS20260311124916351.csv 2026-03-11 12:49:16.351  90deg             8    16.0
90   second setup/EOS20260311124930095.csv 2026-03-11 12:49:30.095   0deg             9    18.0
91   second setup/EOS20260311124934624.csv 2026-03-11 12:49:34.624  90deg             9    18.0
92   second setup/EOS20260311124939167.csv 2026-03-11 12:49:39.167   0deg            10    20.0
93   second setup/EOS20260311124948244.csv 2026-03-11 12:49:48.244  90deg            10    20.0
94   second setup/EOS20260311124952789.csv 2026-03-11 12:49:52.789   0deg            11    22.0
95   second setup/EOS20260311124957328.csv 2026-03-11 12:49:57.328  90deg            11    22.0
96   second setup/EOS20260311125010943.csv 2026-03-11 12:50:10.943   0deg            12    24.0
97   second setup/EOS20260311125015487.csv 2026-03-11 12:50:15.487  90deg            12    24.0
98   second setup/EOS20260311125024658.csv 2026-03-11 12:50:24.658   0deg            13    26.0
99   second setup/EOS20260311125029224.csv 2026-03-11 12:50:29.224  90deg            13    26.0
100  second setup/EOS20260311125033823.csv 2026-03-11 12:50:33.823   0deg            14    28.0
101  second setup/EOS20260311125038427.csv 2026-03-11 12:50:38.427  90deg            14    28.0
102  second setup/EOS20260311125200499.csv 2026-03-11 12:52:00.499   0deg            15    30.0
103  second setup/EOS20260311125205068.csv 2026-03-11 12:52:05.068  90deg            15    30.0
104  second setup/EOS20260311125209636.csv 2026-03-11 12:52:09.636   0deg            16    32.0
105  second setup/EOS20260311125223313.csv 2026-03-11 12:52:23.313  90deg            16    32.0
106  second setup/EOS20260311125227882.csv 2026-03-11 12:52:27.882   0deg            17    34.0
107  second setup/EOS20260311125232453.csv 2026-03-11 12:52:32.453  90deg            17    34.0
108  second setup/EOS20260311125422733.csv 2026-03-11 12:54:22.733   0deg            18    36.0
109  second setup/EOS20260311125427242.csv 2026-03-11 12:54:27.242  90deg            18    36.0
110  second setup/EOS20260311125431820.csv 2026-03-11 12:54:31.820   0deg            19    38.0
111  second setup/EOS20260311125445475.csv 2026-03-11 12:54:45.475  90deg            19    38.0
112  second setup/EOS20260311125449983.csv 2026-03-11 12:54:49.983   0deg            20    40.0
113  second setup/EOS20260311125454552.csv 2026-03-11 12:54:54.552  90deg            20    40.0
114  second setup/EOS20260311125508255.csv 2026-03-11 12:55:08.255   0deg            21    42.0
115  second setup/EOS20260311125512834.csv 2026-03-11 12:55:12.834  90deg            21    42.0
116  second setup/EOS20260311125517439.csv 2026-03-11 12:55:17.439   0deg            22    44.0
117  second setup/EOS20260311125531127.csv 2026-03-11 12:55:31.127  90deg            22    44.0
118  second setup/EOS20260311125535724.csv 2026-03-11 12:55:35.724   0deg            23    46.0
119  second setup/EOS20260311125544947.csv 2026-03-11 12:55:44.947  90deg            23    46.0
120  second setup/EOS20260311125554025.csv 2026-03-11 12:55:54.025   0deg            24    48.0
121  second setup/EOS20260311125558568.csv 2026-03-11 12:55:58.568  90deg            24    48.0
122  second setup/EOS20260311125603110.csv 2026-03-11 12:56:03.110   0deg            25    50.0
123  second setup/EOS20260311125612192.csv 2026-03-11 12:56:12.192  90deg            25    50.0
