Time,Object,Altitude,Azimuth,Angular Separation
2026-01-21 13:02:08 UTC,STARLINK-3236,3.316343529,211.5564703,28.62016148
2026-01-21 13:02:08 UTC,STARLINK-3249,7.43088819,226.7541913,15.15523702
2026-01-21 13:02:08 UTC,STARLINK-32781,5.450727747,241.70314,5.709847828
2026-01-21 13:02:08 UTC,STARLINK-32919,16.13346366,238.2140342,16.22940442
2026-01-21 13:02:08 UTC,STARLINK-32947,22.51387821,249.8923154,24.48742036
2026-01-21 13:02:08 UTC,STARLINK-3318,7.185123071,263.4882466,24.50297589
2026-01-21 13:02:08 UTC,STARLINK-33535,11.15801222,266.2289065,28.34809867
2026-01-21 13:02:08 UTC,STARLINK-33606,21.91761651,247.1338563,22.99487728
2026-01-21 13:02:08 UTC,STARLINK-33643,2.724704195,222.6727631,17.53366479
2026-01-21 13:02:08 UTC,STARLINK-33859,2.41215268,248.1899199,8.535430919
2026-01-21 13:02:08 UTC,STARLINK-33994,9.732969806,228.7896864,14.80498584
2026-01-21 13:02:08 UTC,STARLINK-34053,7.735584711,217.9932677,23.26284823
2026-01-21 13:02:08 UTC,STARLINK-34087,0.247375077,250.3283247,10.33125455
2026-01-21 13:02:08 UTC,STARLINK-34129,1.912213349,236.1911546,4.261276205
2026-01-21 13:02:08 UTC,STARLINK-34150,5.167153831,262.8035926,23.35118208
2026-01-21 13:02:08 UTC,STARLINK-34283,2.277045123,241.9910843,3.024444345
2026-01-21 13:02:08 UTC,STARLINK-34646,22.28257889,221.0017207,28.96436417
2026-01-21 13:02:08 UTC,STARLINK-34649,24.70130827,222.8472874,29.76250234
2026-01-21 13:02:08 UTC,STARLINK-34760,19.52208649,249.0133223,21.42844722
2026-01-21 13:02:08 UTC,STARLINK-34843,6.71451803,223.5454338,17.73668643
2026-01-21 13:02:08 UTC,STARLINK-34905,3.943633432,241.2340679,4.131919956
2026-01-21 13:02:08 UTC,STARLINK-35572,4.158044713,241.9454065,4.589912356
2026-01-21 13:02:08 UTC,STARLINK-35632,2.50810731,239.9691606,2.508296781
2026-01-21 13:02:08 UTC,STARLINK-35706,0.405436613,224.975204,15.03013931
2026-01-21 13:02:08 UTC,STARLINK-35761,11.53172012,221.9889194,21.28282275
2026-01-21 13:02:08 UTC,STARLINK-35993,3.839152598,215.6426843,24.63978254
2026-01-21 13:02:08 UTC,STARLINK-3864,4.976117331,223.3328287,17.37393359
2026-01-21 13:02:08 UTC,STARLINK-3878,17.35107833,254.2148567,22.29085074
2026-01-21 13:02:08 UTC,STARLINK-4064,5.652372753,210.6100958,29.8807881
2026-01-21 13:02:08 UTC,STARLINK-4084,4.306713671,226.8104965,13.8629676
2026-01-21 13:02:08 UTC,STARLINK-4098,7.936957598,244.9640821,9.353047801
2026-01-21 13:02:08 UTC,STARLINK-4118,5.544829587,242.3653274,6.026809274
2026-01-21 13:02:08 UTC,STARLINK-4206,0.748931322,261.7976985,21.80993425
2026-01-21 13:02:08 UTC,STARLINK-4555,10.64432048,234.0634055,12.17119683
2026-01-21 13:02:08 UTC,STARLINK-5140,5.014247038,259.975049,20.5698264
2026-01-21 13:02:08 UTC,STARLINK-5458,11.65432872,261.9256245,24.6949984
2026-01-21 13:02:08 UTC,STARLINK-5746,0.753116085,229.0867294,10.93891147
2026-01-21 13:02:08 UTC,STARLINK-5786,10.2507757,220.1538871,22.24188421
2026-01-21 13:02:08 UTC,STARLINK-5799,1.376523421,226.2977711,13.7698813
2026-01-21 13:02:08 UTC,STARLINK-6144,6.339877802,223.1390796,17.98101041
2026-01-21 13:02:08 UTC,STARLINK-6229,2.599754,245.0973832,5.720506309
2026-01-21 13:02:08 UTC,STARLINK-6235,8.249487271,232.1591674,11.3625152
2026-01-21 13:02:08 UTC,STARLINK-6346,14.52053375,253.3342358,19.61660327
2026-01-21 13:02:08 UTC,STARLINK-6349,5.684995379,246.6980214,8.7769702
2026-01-21 13:02:08 UTC,WEINA 1A,3.923847468,252.8992117,13.47312705
2026-01-21 13:02:08 UTC,YAOGAN-39 01C,3.608816217,260.9528455,21.24757245
2026-01-21 13:02:09 UTC,2024-018C,2.441308007,261.974684,22.10320232
2026-01-21 13:02:09 UTC,BEIDOU-3 M18,10.0425132,257.5575239,20.14784426
2026-01-21 13:02:09 UTC,BEIDOU-3S M2S,9.703739409,236.5340031,10.29857198
2026-01-21 13:02:09 UTC,COSMOS 2534 [GLONASS-M],19.35198843,243.3397415,19.6271708
2026-01-21 13:02:09 UTC,COSMOS 2557 [GLONASS-K],21.72248953,225.8722198,25.72482856
2026-01-21 13:02:09 UTC,GEESAT-6 08,2.353790066,234.1709912,6.28478656
2026-01-21 13:02:09 UTC,GLOBALSTAR M093,0.881106806,224.1593687,15.86449077
2026-01-21 13:02:09 UTC,GSAT0101 (GALILEO-PFM),22.84321699,259.3250306,29.58246517
2026-01-21 13:02:09 UTC,GSAT0216 (GALILEO 20),15.85507245,224.0735102,22.32701177
2026-01-21 13:02:09 UTC,HULIANWANG DIGUI-04,3.896176326,222.9515395,17.47510769
2026-01-21 13:02:09 UTC,HULIANWANG DIGUI-79,20.15736137,251.0982984,22.89879504
2026-01-21 13:02:09 UTC,HULIANWANG DIGUI-87,10.77676225,214.7779738,27.28867042
2026-01-21 13:02:09 UTC,KUIPER-00119,1.527002819,261.2513936,21.3036509
2026-01-21 13:02:09 UTC,LEMUR-2-CAEL,17.78177789,235.2247658,18.39177273
2026-01-21 13:02:09 UTC,NAVSTAR 46 (USA 145),11.38546697,235.9167156,12.08643688
2026-01-21 13:02:09 UTC,NAVSTAR 56 (USA 180),28.86892767,241.0301469,28.88572008
2026-01-21 13:02:09 UTC,NAVSTAR 83 (USA 440),9.276221614,262.4883759,24.23433729
2026-01-21 13:02:09 UTC,ONEWEB-0094,2.37047007,214.662043,25.4413046
2026-01-21 13:02:09 UTC,ONEWEB-0289,7.59215965,236.5645075,8.329124874
2026-01-21 13:02:09 UTC,ONEWEB-0393,7.938293245,239.641368,7.946338312
2026-01-21 13:02:09 UTC,ONEWEB-0442,6.358331503,229.0830928,12.61413568
2026-01-21 13:02:09 UTC,ONEWEB-0452,8.452804302,256.7844911,18.73794193
2026-01-21 13:02:09 UTC,ONEWEB-0710,4.559137115,221.5688044,18.96766807
2026-01-21 13:02:09 UTC,ORBCOMM FM27,6.553128091,218.175723,22.74079034
2026-01-21 13:02:09 UTC,RAISE 2,3.274297132,212.1952464,27.981602
2026-01-21 13:02:09 UTC,SHIYAN-20B (SY-20B),1.907676031,228.9961133,11.16601512
2026-01-21 13:02:09 UTC,SKYSAT-C2,3.562125916,257.8125272,18.1538787
2026-01-21 13:02:09 UTC,SMOS,0.420345205,220.5485783,19.45578721
2026-01-21 13:02:09 UTC,STARLINK-11109 [DTC],8.340306087,214.0844982,27.13591383
2026-01-21 13:02:09 UTC,STARLINK-11377 [DTC],11.20986717,215.6743388,26.64090215
2026-01-21 13:02:09 UTC,STARLINK-11495 [DTC],0.233683279,229.2795858,10.72293103
2026-01-21 13:02:09 UTC,STARLINK-11543 [DTC],2.327143331,234.7478716,5.743280378
2026-01-21 13:02:09 UTC,STARLINK-11565 [DTC],3.416380906,253.3832324,13.80469019
2026-01-21 13:02:09 UTC,STARLINK-1281,13.7968719,229.2051983,17.45322569
2026-01-21 13:02:09 UTC,STARLINK-2238,0.718562433,212.7281932,27.28054585
2026-01-21 13:02:09 UTC,STARLINK-2443,0.486183762,238.8768778,1.223825078
2026-01-21 13:02:09 UTC,STARLINK-2468,14.84603639,253.5495518,19.99631826
2026-01-21 13:02:09 UTC,STARLINK-2700,3.219421811,225.8434241,14.51073728
2026-01-21 13:02:09 UTC,STARLINK-30056,1.32301232,235.3711315,4.81383171
2026-01-21 13:02:09 UTC,STARLINK-30135,12.23425688,246.6829886,13.91610266
2026-01-21 13:02:09 UTC,STARLINK-30250,3.942425105,263.4420458,23.75278646
2026-01-21 13:02:09 UTC,STARLINK-3046,9.620222465,227.085705,16.05466168
2026-01-21 13:02:09 UTC,STARLINK-30500,6.610024264,221.0260209,20.05227981
2026-01-21 13:02:09 UTC,STARLINK-30536,6.110292146,217.6981351,23.08251671
2026-01-21 13:02:09 UTC,STARLINK-30569,13.75436228,232.2778411,15.73731008
2026-01-21 13:02:09 UTC,STARLINK-30601,16.70430295,244.9277018,17.39608384
2026-01-21 13:02:09 UTC,STARLINK-3068,10.29734749,225.8469506,17.44058689
2026-01-21 13:02:09 UTC,STARLINK-30948,19.55022126,218.1347139,29.00729985
2026-01-21 13:02:09 UTC,STARLINK-30951,2.974208896,227.3722911,12.96769954
2026-01-21 13:02:09 UTC,STARLINK-31063,7.90084297,222.3445975,19.29107839
2026-01-21 13:02:09 UTC,STARLINK-31095,11.17466657,214.9575611,27.27494617
2026-01-21 13:02:09 UTC,STARLINK-31129,3.904795559,221.7776147,18.62216441
2026-01-21 13:02:09 UTC,STARLINK-31208,14.91303462,218.5761441,25.90119099
2026-01-21 13:02:09 UTC,STARLINK-31520,3.030441427,252.4178434,12.7766247
2026-01-21 13:02:09 UTC,STARLINK-31701,5.065750988,245.9688144,7.822763646
2026-01-21 13:02:09 UTC,STARLINK-31877,2.710196871,222.5139042,17.68839182
2026-01-21 13:02:09 UTC,STARLINK-32044,1.820315103,245.7221373,6.003780314
2026-01-21 13:02:09 UTC,STARLINK-32093,0.581728402,226.8762923,13.1363683
2026-01-21 13:02:09 UTC,STARLINK-32134,18.35123379,221.4408518,25.87022743
2026-01-21 13:02:09 UTC,STARLINK-32313,0.870153058,225.071718,14.95304515
2026-01-21 13:02:09 UTC,STARLINK-3236,3.326604273,211.3819062,28.79453833
2026-01-21 13:02:09 UTC,STARLINK-3249,7.453677509,226.5517649,15.34233295
2026-01-21 13:02:09 UTC,STARLINK-32781,5.507177581,241.5578848,5.722633209
2026-01-21 13:02:09 UTC,STARLINK-32919,16.27453904,238.2303802,16.36787995
2026-01-21 13:02:09 UTC,STARLINK-32947,22.7027067,250.0128597,24.70540814
2026-01-21 13:02:09 UTC,STARLINK-3318,7.244495088,263.3388113,24.37713001
2026-01-21 13:02:09 UTC,STARLINK-33535,11.25065692,266.0913114,28.25666883
2026-01-21 13:02:09 UTC,STARLINK-33606,22.04196788,246.8237012,23.0236634
2026-01-21 13:02:09 UTC,STARLINK-33643,2.793806971,222.6743067,17.54267932
2026-01-21 13:02:09 UTC,STARLINK-33859,2.47603345,248.2479689,8.609141621
2026-01-21 13:02:09 UTC,STARLINK-33994,9.717977074,228.5674166,14.96275224
2026-01-21 13:02:09 UTC,STARLINK-34053,7.780485861,217.795896,23.46259356
2026-01-21 13:02:09 UTC,STARLINK-34087,0.274601224,250.4658254,10.46938709
2026-01-21 13:02:09 UTC,STARLINK-34129,1.960875754,236.0709224,4.39051879
2026-01-21 13:02:09 UTC,STARLINK-34150,5.229006681,262.9271157,23.48444494
2026-01-21 13:02:09 UTC,STARLINK-34283,2.336910951,242.0759186,3.125412088
2026-01-21 13:02:09 UTC,STARLINK-34646,22.44515263,221.1434794,28.99736372
2026-01-21 13:02:09 UTC,STARLINK-34649,24.88028179,223.0132671,29.81786953
2026-01-21 13:02:09 UTC,STARLINK-34760,19.6013313,248.6758923,21.36631019
2026-01-21 13:02:09 UTC,STARLINK-34843,6.732193582,223.327527,17.94452901
2026-01-21 13:02:09 UTC,STARLINK-34905,3.979133119,241.0605333,4.117817684
2026-01-21 13:02:09 UTC,STARLINK-35572,4.225316498,242.0379262,4.690299634
2026-01-21 13:02:09 UTC,STARLINK-35632,2.57090476,240.0489989,2.57137134
2026-01-21 13:02:09 UTC,STARLINK-35706,0.460972987,224.897185,15.10968477
2026-01-21 13:02:09 UTC,STARLINK-35761,11.63903655,221.8920544,21.41989793
2026-01-21 13:02:09 UTC,STARLINK-35993,3.889605295,215.4942455,24.79368424
2026-01-21 13:02:09 UTC,STARLINK-3864,5.051139454,223.3381872,17.38983469
2026-01-21 13:02:09 UTC,STARLINK-3878,17.46218722,254.4090167,22.49560987
2026-01-21 13:02:09 UTC,STARLINK-4084,4.330319131,226.6359397,14.03596621
2026-01-21 13:02:09 UTC,STARLINK-4098,7.980449802,244.777109,9.293035729
2026-01-21 13:02:09 UTC,STARLINK-4118,5.62616183,242.4888811,6.150471627
2026-01-21 13:02:09 UTC,STARLINK-4206,0.785586181,261.9260291,21.93940461
2026-01-21 13:02:09 UTC,STARLINK-4555,10.74061089,234.1281928,12.22430972
2026-01-21 13:02:09 UTC,STARLINK-5140,5.077374384,259.8761872,20.48900902
2026-01-21 13:02:09 UTC,STARLINK-5458,11.72394118,262.1136903,24.8908372
2026-01-21 13:02:09 UTC,STARLINK-5746,0.802842997,228.9961366,11.03275222
2026-01-21 13:02:09 UTC,STARLINK-5786,10.33741438,220.0553075,22.36721139
2026-01-21 13:02:09 UTC,STARLINK-5799,1.431390709,226.2201263,13.852586
2026-01-21 13:02:09 UTC,STARLINK-6144,6.39036206,222.9891657,18.13828124
2026-01-21 13:02:09 UTC,STARLINK-6229,2.652024172,244.993619,5.652578422
2026-01-21 13:02:09 UTC,STARLINK-6235,8.305059927,231.9969199,11.51405781
2026-01-21 13:02:09 UTC,STARLINK-6346,14.63101881,253.4385603,19.76625199
2026-01-21 13:02:09 UTC,STARLINK-6349,5.758536741,246.7503405,8.864207098
2026-01-21 13:02:09 UTC,WEINA 1A,3.990917363,252.8480369,13.44364252
2026-01-21 13:02:09 UTC,YAOGAN-39 01C,3.676524899,260.8994256,21.20607922
2026-01-21 13:02:10 UTC,2024-018C,2.477128493,261.8599876,21.99305626
2026-01-21 13:02:10 UTC,BEIDOU-3 M18,10.04087978,257.5639518,20.15259963
2026-01-21 13:02:10 UTC,BEIDOU-3S M2S,9.708092177,236.529652,10.30411898
2026-01-21 13:02:10 UTC,COSMOS 2534 [GLONASS-M],19.3514486,243.3488084,19.62812481
2026-01-21 13:02:10 UTC,COSMOS 2557 [GLONASS-K],21.72697903,225.8647522,25.73244228
2026-01-21 13:02:10 UTC,GEESAT-6 08,2.416874821,234.2037231,6.278388864
2026-01-21 13:02:10 UTC,GLOBALSTAR M093,0.919357437,224.1008022,15.92507147
