frequency_Hz,power_dBm
1000000000.0,-66.3
1014014014.014014,-65.75
1028028028.028028,-66.08
1042042042.042042,-66.08
1056056056.056056,-65.56
1070070070.07007,-66.88
1084084084.084084,-65.39
1098098098.098098,-65.96
1112112112.112112,-65.85
1126126126.126126,-66.25
1140140140.14014,-66.43
1154154154.154154,-65.12
1168168168.168168,-66.13
1182182182.182182,-66.23
1196196196.196196,-66.67
1210210210.2102103,-65.24
1224224224.224224,-66.09
1238238238.2382383,-65.15
1252252252.252252,-66.71
1266266266.2662663,-65.84
1280280280.28028,-66.03
1294294294.2942944,-65.85
1308308308.3083084,-65.9
1322322322.3223224,-66.83
1336336336.3363364,-65.89
1350350350.3503504,-65.87
1364364364.3643644,-66.2
1378378378.3783784,-65.87
1392392392.3923924,-66.05
1406406406.4064064,-66.55
1420420420.4204204,-64.93
1434434434.4344344,-65.83
1448448448.4484484,-66.14
1462462462.4624624,-66.32
1476476476.4764764,-66.37
1490490490.4904904,-65.03
1504504504.5045044,-66.53
1518518518.5185184,-65.57
1532532532.5325325,-65.29
1546546546.5465465,-65.8
1560560560.5605605,-66.17
1574574574.5745745,-66.22
1588588588.5885887,-66.29
1602602602.6026025,-66.11
1616616616.6166167,-66.24
1630630630.6306305,-66.46
1644644644.6446447,-66.27
1658658658.6586585,-66.09
1672672672.6726727,-64.35
1686686686.6866865,-65.88
1700700700.7007008,-65.85
1714714714.7147145,-65.47
1728728728.7287288,-66.17
1742742742.7427425,-65.35
1756756756.7567568,-65.5
1770770770.7707705,-65.52
1784784784.7847848,-65.45
1798798798.7987988,-65.35
1812812812.8128128,-64.06
1826826826.8268268,-66.46
1840840840.8408408,-65.93
1854854854.8548548,-65.11
1868868868.8688688,-65.67
1882882882.8828828,-65.69
1896896896.8968968,-65.42
1910910910.9109108,-65.3
1924924924.9249249,-64.44
1938938938.9389389,-64.58
1952952952.9529529,-65.62
1966966966.9669669,-63.89
1980980980.9809809,-64.2
1994994994.9949949,-64.93
2009009009.009009,-64.23
2023023023.0230231,-64.55
2037037037.037037,-65.33
2051051051.0510511,-64.73
2065065065.065065,-65.15
2079079079.079079,-65.14
2093093093.093093,-64.72
2107107107.107107,-64.75
2121121121.121121,-64.8
2135135135.1351352,-64.77
2149149149.149149,-65.05
2163163163.163163,-65.25
2177177177.1771774,-64.96
2191191191.191191,-64.39
2205205205.205205,-65.2
2219219219.219219,-64.24
2233233233.2332335,-64.77
2247247247.247247,-64.28
2261261261.261261,-64.84
2275275275.275275,-65.08
2289289289.2892895,-63.91
2303303303.3033032,-64.72
2317317317.317317,-64.51
2331331331.3313313,-65.07
2345345345.3453455,-64.76
2359359359.3593593,-64.93
2373373373.373373,-64.72
2387387387.3873873,-65.06
2401401401.4014015,-64.99
2415415415.4154153,-64.84
2429429429.429429,-64.28
2443443443.4434433,-64.7
2457457457.4574575,-64.8
2471471471.4714713,-64.75
2485485485.485485,-64.96
2499499499.4994993,-65.21
2513513513.5135136,-64.82
2527527527.5275273,-65.24
2541541541.541541,-64.93
2555555555.5555553,-64.13
2569569569.5695696,-64.44
2583583583.583584,-65.27
2597597597.5975976,-64.45
2611611611.6116114,-64.58
2625625625.6256256,-64.37
2639639639.63964,-64.45
2653653653.6536536,-64.3
2667667667.6676674,-64.34
2681681681.6816816,-64.19
2695695695.695696,-64.85
2709709709.7097096,-64.93
2723723723.7237234,-64.07
2737737737.7377377,-64.3
2751751751.751752,-63.92
2765765765.7657657,-63.91
2779779779.7797794,-64.25
2793793793.7937937,-64.03
2807807807.807808,-64.39
2821821821.8218217,-63.75
2835835835.8358355,-64.83
2849849849.8498497,-64.02
2863863863.863864,-64.46
2877877877.8778777,-63.93
2891891891.8918915,-64.29
2905905905.9059057,-64.98
2919919919.91992,-64.83
2933933933.9339337,-63.84
2947947947.9479475,-63.96
2961961961.9619617,-64.14
2975975975.975976,-64.74
2989989989.9899898,-64.02
3004004004.0040035,-64.32
