frequency_Hz,power_dBm
1000000000.0,-67.23
1014014014.014014,-66.87
1028028028.028028,-66.08
1042042042.042042,-66.94
1056056056.056056,-67.0
1070070070.07007,-67.23
1084084084.084084,-66.25
1098098098.098098,-65.68
1112112112.112112,-67.08
1126126126.126126,-66.81
1140140140.14014,-66.23
1154154154.154154,-66.49
1168168168.168168,-66.43
1182182182.182182,-66.65
1196196196.196196,-66.55
1210210210.2102103,-67.01
1224224224.224224,-66.68
1238238238.2382383,-66.42
1252252252.252252,-66.84
1266266266.2662663,-66.15
1280280280.28028,-66.55
1294294294.2942944,-65.91
1308308308.3083084,-66.49
1322322322.3223224,-66.97
1336336336.3363364,-66.38
1350350350.3503504,-66.72
1364364364.3643644,-65.87
1378378378.3783784,-66.74
1392392392.3923924,-66.6
1406406406.4064064,-66.46
1420420420.4204204,-66.87
1434434434.4344344,-65.71
1448448448.4484484,-66.43
1462462462.4624624,-66.53
1476476476.4764764,-66.03
1490490490.4904904,-66.37
1504504504.5045044,-66.49
1518518518.5185184,-66.12
1532532532.5325325,-66.22
1546546546.5465465,-67.11
1560560560.5605605,-66.39
1574574574.5745745,-65.96
1588588588.5885887,-65.58
1602602602.6026025,-65.7
1616616616.6166167,-66.24
1630630630.6306305,-66.11
1644644644.6446447,-65.35
1658658658.6586585,-65.38
1672672672.6726727,-66.37
1686686686.6866865,-65.51
1700700700.7007008,-66.46
1714714714.7147145,-65.94
1728728728.7287288,-64.9
1742742742.7427425,-66.17
1756756756.7567568,-65.19
1770770770.7707705,-66.49
1784784784.7847848,-65.78
1798798798.7987988,-65.95
1812812812.8128128,-65.47
1826826826.8268268,-65.41
1840840840.8408408,-65.25
1854854854.8548548,-65.6
1868868868.8688688,-66.29
1882882882.8828828,-65.89
1896896896.8968968,-66.13
1910910910.9109108,-66.04
1924924924.9249249,-64.87
1938938938.9389389,-65.65
1952952952.9529529,-65.91
1966966966.9669669,-65.68
1980980980.9809809,-65.18
1994994994.9949949,-65.85
2009009009.009009,-64.67
2023023023.0230231,-65.3
2037037037.037037,-65.17
2051051051.0510511,-64.99
2065065065.065065,-64.63
2079079079.079079,-64.84
2093093093.093093,-65.08
2107107107.107107,-65.27
2121121121.121121,-65.05
2135135135.1351352,-65.11
2149149149.149149,-64.85
2163163163.163163,-65.27
2177177177.1771774,-65.03
2191191191.191191,-64.85
2205205205.205205,-65.76
2219219219.219219,-65.33
2233233233.2332335,-65.84
2247247247.247247,-65.12
2261261261.261261,-65.14
2275275275.275275,-64.68
2289289289.2892895,-64.64
2303303303.3033032,-65.07
2317317317.317317,-64.55
2331331331.3313313,-65.6
2345345345.3453455,-65.76
2359359359.3593593,-65.14
2373373373.373373,-65.45
2387387387.3873873,-65.0
2401401401.4014015,-65.55
2415415415.4154153,-64.72
2429429429.429429,-65.65
2443443443.4434433,-65.22
2457457457.4574575,-65.09
2471471471.4714713,-66.05
2485485485.485485,-65.0
2499499499.4994993,-65.54
2513513513.5135136,-64.08
2527527527.5275273,-65.4
2541541541.541541,-65.02
2555555555.5555553,-65.44
2569569569.5695696,-65.32
2583583583.583584,-65.17
2597597597.5975976,-65.12
2611611611.6116114,-65.0
2625625625.6256256,-64.98
2639639639.63964,-65.2
2653653653.6536536,-64.62
2667667667.6676674,-64.39
2681681681.6816816,-64.82
2695695695.695696,-64.77
2709709709.7097096,-65.59
2723723723.7237234,-64.37
2737737737.7377377,-65.16
2751751751.751752,-65.16
2765765765.7657657,-64.19
2779779779.7797794,-64.5
2793793793.7937937,-64.93
2807807807.807808,-64.72
2821821821.8218217,-64.69
2835835835.8358355,-64.15
2849849849.8498497,-64.08
2863863863.863864,-64.35
2877877877.8778777,-63.85
2891891891.8918915,-64.49
2905905905.9059057,-65.0
2919919919.91992,-64.69
2933933933.9339337,-64.65
2947947947.9479475,-64.59
2961961961.9619617,-64.67
2975975975.975976,-63.22
2989989989.9899898,-63.81
3004004004.0040035,-62.88
3018018018.018018,-61.39
3032032032.032032,-65.09
3046046046.0460463,-64.64
3060060060.06006,-63.24
3074074074.074074,-64.55
3088088088.088088,-64.8
3102102102.1021023,-63.08
3116116116.116116,-64.17
3130130130.13013,-64.29
3144144144.144144,-63.41
3158158158.158158,-64.51
3172172172.172172,-64.42
3186186186.186186,-65.07
3200200200.2002,-64.06
3214214214.214214,-64.39
3228228228.228228,-64.71
3242242242.242242,-64.45
3256256256.256256,-64.03
3270270270.2702703,-63.9
3284284284.284284,-64.52
3298298298.2982984,-63.94
3312312312.312312,-63.62
3326326326.3263264,-63.83
3340340340.34034,-64.39
3354354354.3543544,-64.6
3368368368.368368,-64.5
3382382382.3823824,-62.57
3396396396.396396,-62.82
3410410410.4104104,-64.36
3424424424.424424,-64.29
3438438438.4384384,-64.07
3452452452.452452,-63.82
3466466466.4664664,-64.22
3480480480.48048,-64.25
3494494494.4944944,-63.43
3508508508.508508,-64.78
3522522522.5225224,-63.83
3536536536.536536,-63.59
3550550550.5505505,-63.59
3564564564.564564,-63.89
3578578578.5785785,-63.05
3592592592.5925922,-64.02
3606606606.6066065,-64.09
3620620620.6206203,-63.8
3634634634.6346345,-61.79
3648648648.6486483,-63.43
3662662662.6626625,-64.18
3676676676.6766763,-62.06
3690690690.6906905,-62.49
3704704704.7047048,-63.72
3718718718.7187185,-64.08
3732732732.732733,-62.42
3746746746.7467465,-63.35
3760760760.760761,-63.31
3774774774.7747746,-63.58
3788788788.788789,-63.96
3802802802.8028026,-63.79
3816816816.816817,-63.53
3830830830.8308306,-64.28
3844844844.844845,-63.69
3858858858.8588586,-64.37
3872872872.872873,-64.08
