frequency_Hz,power_dBm
1000000000.0,-66.94
1014014014.014014,-66.31
1028028028.028028,-66.28
1042042042.042042,-66.5
1056056056.056056,-66.77
1070070070.07007,-67.19
1084084084.084084,-65.92
1098098098.098098,-65.34
1112112112.112112,-65.89
1126126126.126126,-66.14
1140140140.14014,-66.14
1154154154.154154,-66.16
1168168168.168168,-66.46
1182182182.182182,-66.38
1196196196.196196,-66.99
1210210210.2102103,-65.88
1224224224.224224,-66.56
1238238238.2382383,-66.09
1252252252.252252,-66.15
1266266266.2662663,-66.06
1280280280.28028,-66.55
1294294294.2942944,-64.99
1308308308.3083084,-65.66
1322322322.3223224,-66.52
1336336336.3363364,-66.42
1350350350.3503504,-66.63
1364364364.3643644,-66.51
1378378378.3783784,-66.1
1392392392.3923924,-65.87
1406406406.4064064,-66.17
1420420420.4204204,-66.04
1434434434.4344344,-65.73
1448448448.4484484,-66.14
1462462462.4624624,-66.26
1476476476.4764764,-66.71
1490490490.4904904,-65.46
1504504504.5045044,-66.01
1518518518.5185184,-65.65
1532532532.5325325,-65.87
1546546546.5465465,-66.13
1560560560.5605605,-65.79
1574574574.5745745,-65.93
1588588588.5885887,-65.79
1602602602.6026025,-65.88
1616616616.6166167,-65.88
1630630630.6306305,-66.09
1644644644.6446447,-65.75
1658658658.6586585,-66.1
1672672672.6726727,-66.0
1686686686.6866865,-65.62
1700700700.7007008,-66.31
1714714714.7147145,-65.42
1728728728.7287288,-65.84
1742742742.7427425,-65.98
1756756756.7567568,-65.95
1770770770.7707705,-65.84
1784784784.7847848,-64.92
1798798798.7987988,-65.44
1812812812.8128128,-64.82
1826826826.8268268,-65.75
1840840840.8408408,-65.43
1854854854.8548548,-64.82
1868868868.8688688,-66.19
1882882882.8828828,-64.88
1896896896.8968968,-64.96
1910910910.9109108,-65.81
1924924924.9249249,-65.05
1938938938.9389389,-64.72
1952952952.9529529,-65.77
1966966966.9669669,-65.82
1980980980.9809809,-64.94
1994994994.9949949,-65.53
2009009009.009009,-64.82
2023023023.0230231,-65.3
2037037037.037037,-65.59
2051051051.0510511,-65.39
2065065065.065065,-65.49
2079079079.079079,-65.51
2093093093.093093,-64.49
2107107107.107107,-64.8
2121121121.121121,-64.76
2135135135.1351352,-63.38
2149149149.149149,-63.79
2163163163.163163,-65.11
2177177177.1771774,-64.83
2191191191.191191,-64.83
2205205205.205205,-65.66
2219219219.219219,-65.07
2233233233.2332335,-65.41
2247247247.247247,-65.22
2261261261.261261,-64.87
2275275275.275275,-63.7
2289289289.2892895,-64.91
2303303303.3033032,-64.32
2317317317.317317,-65.0
2331331331.3313313,-65.02
2345345345.3453455,-65.06
2359359359.3593593,-65.34
2373373373.373373,-65.05
2387387387.3873873,-65.01
2401401401.4014015,-65.35
2415415415.4154153,-64.98
2429429429.429429,-65.3
2443443443.4434433,-64.7
2457457457.4574575,-65.67
2471471471.4714713,-64.98
2485485485.485485,-64.53
2499499499.4994993,-63.77
2513513513.5135136,-65.31
2527527527.5275273,-65.26
2541541541.541541,-63.89
2555555555.5555553,-64.13
2569569569.5695696,-64.75
2583583583.583584,-65.43
2597597597.5975976,-65.44
2611611611.6116114,-65.14
2625625625.6256256,-64.95
2639639639.63964,-64.71
2653653653.6536536,-65.29
2667667667.6676674,-65.52
2681681681.6816816,-64.33
2695695695.695696,-64.62
2709709709.7097096,-64.81
2723723723.7237234,-64.9
2737737737.7377377,-64.7
2751751751.751752,-64.63
2765765765.7657657,-64.98
2779779779.7797794,-64.88
2793793793.7937937,-64.74
2807807807.807808,-63.61
2821821821.8218217,-64.04
2835835835.8358355,-64.51
2849849849.8498497,-64.14
2863863863.863864,-64.3
2877877877.8778777,-63.14
2891891891.8918915,-64.35
2905905905.9059057,-63.82
2919919919.91992,-63.88
2933933933.9339337,-63.5
2947947947.9479475,-64.64
2961961961.9619617,-65.02
2975975975.975976,-63.4
2989989989.9899898,-63.68
3004004004.0040035,-64.98
3018018018.018018,-63.67
3032032032.032032,-64.26
3046046046.0460463,-64.24
3060060060.06006,-64.58
3074074074.074074,-63.47
3088088088.088088,-64.05
3102102102.1021023,-64.57
3116116116.116116,-64.62
3130130130.13013,-64.37
3144144144.144144,-63.33
3158158158.158158,-65.07
3172172172.172172,-64.21
3186186186.186186,-64.07
3200200200.2002,-63.99
3214214214.214214,-64.31
3228228228.228228,-62.73
3242242242.242242,-63.5
3256256256.256256,-63.88
3270270270.2702703,-63.53
3284284284.284284,-62.87
3298298298.2982984,-64.12
3312312312.312312,-63.6
3326326326.3263264,-62.96
3340340340.34034,-63.67
3354354354.3543544,-63.5
3368368368.368368,-63.82
3382382382.3823824,-63.87
3396396396.396396,-63.24
3410410410.4104104,-63.63
3424424424.424424,-63.6
3438438438.4384384,-63.34
3452452452.452452,-63.56
3466466466.4664664,-63.14
3480480480.48048,-64.0
3494494494.4944944,-63.71
3508508508.508508,-63.46
3522522522.5225224,-63.7
3536536536.536536,-63.89
3550550550.5505505,-63.03
3564564564.564564,-63.11
3578578578.5785785,-63.21
3592592592.5925922,-63.81
3606606606.6066065,-63.76
3620620620.6206203,-63.56
3634634634.6346345,-62.51
3648648648.6486483,-63.31
3662662662.6626625,-63.81
3676676676.6766763,-63.08
3690690690.6906905,-63.59
3704704704.7047048,-63.36
3718718718.7187185,-63.57
3732732732.732733,-63.62
3746746746.7467465,-63.46
3760760760.760761,-63.44
3774774774.7747746,-63.9
3788788788.788789,-63.61
3802802802.8028026,-63.33
3816816816.816817,-63.12
3830830830.8308306,-63.54
3844844844.844845,-63.0
3858858858.8588586,-62.66
3872872872.872873,-63.82
3886886886.8868866,-63.3
3900900900.900901,-63.6
3914914914.9149146,-63.28
3928928928.928929,-62.86
3942942942.9429426,-62.84
3956956956.956957,-63.84
3970970970.9709706,-63.78
3984984984.984985,-63.6
3998998998.9989986,-63.68
4013013013.013013,-64.1
4027027027.0270267,-64.13
4041041041.041041,-63.39
4055055055.0550547,-63.98
4069069069.069069,-63.74
4083083083.0830827,-63.75
4097097097.097097,-64.58
4111111111.1111107,-64.1
4125125125.125125,-63.6
4139139139.139139,-63.96
4153153153.153153,-62.82
4167167167.167167,-62.23
4181181181.181181,-62.54
4195195195.195195,-64.29
4209209209.209209,-64.01
4223223223.223223,-63.25
4237237237.237237,-64.09
4251251251.251251,-63.92
4265265265.265265,-64.13
4279279279.279279,-63.31
4293293293.293293,-64.11
4307307307.307307,-64.14
4321321321.3213215,-63.5
4335335335.335335,-64.03
4349349349.349349,-63.23
4363363363.363363,-63.25
4377377377.377377,-63.24
4391391391.391392,-63.25
4405405405.405405,-63.45
4419419419.419419,-63.31
4433433433.433434,-62.73
4447447447.447447,-63.63
4461461461.461461,-63.9
4475475475.475475,-63.06
4489489489.489489,-62.99
4503503503.503504,-63.55
4517517517.517517,-63.47
4531531531.531531,-62.34
4545545545.545546,-63.96
4559559559.559559,-63.49
