frequency_Hz,power_dBm
1000000000.0,-66.36
1014014014.014014,-65.66
1028028028.028028,-66.7
1042042042.042042,-66.14
1056056056.056056,-66.34
1070070070.07007,-66.18
1084084084.084084,-66.48
1098098098.098098,-65.65
1112112112.112112,-66.63
1126126126.126126,-66.81
1140140140.14014,-65.9
1154154154.154154,-65.96
1168168168.168168,-66.09
1182182182.182182,-66.7
1196196196.196196,-66.54
1210210210.2102103,-65.84
1224224224.224224,-66.47
1238238238.2382383,-66.44
1252252252.252252,-66.14
1266266266.2662663,-65.44
1280280280.28028,-65.05
1294294294.2942944,-66.31
1308308308.3083084,-65.49
1322322322.3223224,-66.34
1336336336.3363364,-65.66
1350350350.3503504,-65.94
1364364364.3643644,-65.96
1378378378.3783784,-66.35
1392392392.3923924,-66.08
1406406406.4064064,-66.03
1420420420.4204204,-66.44
1434434434.4344344,-65.38
1448448448.4484484,-66.43
1462462462.4624624,-66.05
1476476476.4764764,-65.86
1490490490.4904904,-65.61
1504504504.5045044,-66.31
1518518518.5185184,-65.76
1532532532.5325325,-66.13
1546546546.5465465,-66.03
1560560560.5605605,-65.66
1574574574.5745745,-66.39
1588588588.5885887,-66.04
1602602602.6026025,-65.59
1616616616.6166167,-65.71
1630630630.6306305,-65.68
1644644644.6446447,-65.54
1658658658.6586585,-65.76
1672672672.6726727,-65.32
1686686686.6866865,-65.19
1700700700.7007008,-66.0
1714714714.7147145,-65.61
1728728728.7287288,-65.33
1742742742.7427425,-66.17
1756756756.7567568,-65.62
1770770770.7707705,-66.07
1784784784.7847848,-66.19
1798798798.7987988,-65.48
1812812812.8128128,-65.56
1826826826.8268268,-66.05
1840840840.8408408,-65.59
1854854854.8548548,-65.12
1868868868.8688688,-65.83
1882882882.8828828,-65.33
1896896896.8968968,-65.65
1910910910.9109108,-64.48
1924924924.9249249,-65.22
1938938938.9389389,-64.91
1952952952.9529529,-65.69
1966966966.9669669,-65.45
1980980980.9809809,-63.3
1994994994.9949949,-64.04
2009009009.009009,-63.22
2023023023.0230231,-65.81
2037037037.037037,-65.45
2051051051.0510511,-64.85
2065065065.065065,-65.12
2079079079.079079,-65.72
2093093093.093093,-64.84
2107107107.107107,-64.97
2121121121.121121,-63.89
2135135135.1351352,-59.68
2149149149.149149,-60.24
2163163163.163163,-64.46
2177177177.1771774,-64.57
2191191191.191191,-65.36
2205205205.205205,-65.38
2219219219.219219,-64.7
2233233233.2332335,-64.68
