frequency_Hz,power_dBm
1000000000.0,-66.8
1014014014.014014,-65.89
1028028028.028028,-66.15
1042042042.042042,-66.12
1056056056.056056,-65.75
1070070070.07007,-67.35
1084084084.084084,-65.39
1098098098.098098,-66.54
1112112112.112112,-66.64
1126126126.126126,-66.8
1140140140.14014,-66.28
1154154154.154154,-66.26
1168168168.168168,-65.94
1182182182.182182,-66.25
1196196196.196196,-66.6
1210210210.2102103,-65.88
1224224224.224224,-66.05
1238238238.2382383,-66.25
1252252252.252252,-65.64
1266266266.2662663,-66.34
1280280280.28028,-66.58
1294294294.2942944,-66.26
1308308308.3083084,-65.88
1322322322.3223224,-66.63
1336336336.3363364,-66.63
1350350350.3503504,-66.18
1364364364.3643644,-66.14
1378378378.3783784,-66.17
1392392392.3923924,-66.72
1406406406.4064064,-66.79
1420420420.4204204,-66.08
1434434434.4344344,-66.4
1448448448.4484484,-66.86
1462462462.4624624,-66.21
1476476476.4764764,-66.42
1490490490.4904904,-65.62
1504504504.5045044,-66.1
1518518518.5185184,-66.78
1532532532.5325325,-66.07
1546546546.5465465,-65.19
1560560560.5605605,-66.55
1574574574.5745745,-66.86
1588588588.5885887,-65.11
1602602602.6026025,-65.89
1616616616.6166167,-66.66
1630630630.6306305,-66.54
1644644644.6446447,-65.59
1658658658.6586585,-65.41
1672672672.6726727,-65.32
1686686686.6866865,-66.07
1700700700.7007008,-66.13
1714714714.7147145,-66.04
1728728728.7287288,-65.49
1742742742.7427425,-66.21
1756756756.7567568,-65.51
1770770770.7707705,-65.32
1784784784.7847848,-64.78
1798798798.7987988,-65.22
1812812812.8128128,-65.46
1826826826.8268268,-65.38
1840840840.8408408,-65.25
1854854854.8548548,-65.73
1868868868.8688688,-65.65
1882882882.8828828,-65.54
1896896896.8968968,-65.8
1910910910.9109108,-65.41
1924924924.9249249,-65.11
1938938938.9389389,-65.62
1952952952.9529529,-64.91
1966966966.9669669,-66.15
1980980980.9809809,-65.06
1994994994.9949949,-65.66
2009009009.009009,-64.6
2023023023.0230231,-65.57
2037037037.037037,-65.5
2051051051.0510511,-65.62
2065065065.065065,-65.33
2079079079.079079,-64.87
2093093093.093093,-65.7
2107107107.107107,-65.97
2121121121.121121,-65.26
2135135135.1351352,-64.85
2149149149.149149,-65.42
2163163163.163163,-65.8
2177177177.1771774,-65.37
2191191191.191191,-64.87
2205205205.205205,-65.23
2219219219.219219,-65.03
2233233233.2332335,-65.33
2247247247.247247,-65.84
2261261261.261261,-65.27
2275275275.275275,-65.5
2289289289.2892895,-65.41
2303303303.3033032,-65.66
2317317317.317317,-64.47
2331331331.3313313,-64.83
2345345345.3453455,-64.81
2359359359.3593593,-65.86
2373373373.373373,-64.62
2387387387.3873873,-64.27
2401401401.4014015,-65.86
2415415415.4154153,-65.46
2429429429.429429,-65.13
2443443443.4434433,-65.6
2457457457.4574575,-65.38
2471471471.4714713,-64.33
2485485485.485485,-65.21
2499499499.4994993,-65.26
2513513513.5135136,-64.62
2527527527.5275273,-64.91
2541541541.541541,-65.15
2555555555.5555553,-65.13
2569569569.5695696,-65.19
2583583583.583584,-65.57
2597597597.5975976,-65.28
2611611611.6116114,-64.95
2625625625.6256256,-64.97
2639639639.63964,-65.36
2653653653.6536536,-65.43
2667667667.6676674,-64.87
2681681681.6816816,-65.3
2695695695.695696,-64.82
2709709709.7097096,-65.3
2723723723.7237234,-65.06
2737737737.7377377,-64.56
2751751751.751752,-64.63
2765765765.7657657,-64.82
2779779779.7797794,-63.92
2793793793.7937937,-64.7
2807807807.807808,-64.99
2821821821.8218217,-65.24
2835835835.8358355,-65.22
2849849849.8498497,-64.64
2863863863.863864,-63.74
2877877877.8778777,-64.8
2891891891.8918915,-64.58
2905905905.9059057,-64.61
2919919919.91992,-63.98
2933933933.9339337,-65.07
2947947947.9479475,-64.34
2961961961.9619617,-64.44
2975975975.975976,-64.36
2989989989.9899898,-64.18
3004004004.0040035,-64.33
3018018018.018018,-63.48
3032032032.032032,-64.97
3046046046.0460463,-64.07
3060060060.06006,-63.94
3074074074.074074,-64.25
3088088088.088088,-64.88
3102102102.1021023,-64.42
3116116116.116116,-64.24
3130130130.13013,-64.08
3144144144.144144,-64.03
3158158158.158158,-64.26
3172172172.172172,-63.4
3186186186.186186,-64.47
3200200200.2002,-64.67
3214214214.214214,-64.7
3228228228.228228,-63.73
3242242242.242242,-64.78
3256256256.256256,-64.47
3270270270.2702703,-63.92
3284284284.284284,-64.1
3298298298.2982984,-63.31
3312312312.312312,-64.57
3326326326.3263264,-64.25
3340340340.34034,-65.12
3354354354.3543544,-64.57
3368368368.368368,-64.73
3382382382.3823824,-64.55
3396396396.396396,-63.7
3410410410.4104104,-63.9
3424424424.424424,-63.74
3438438438.4384384,-64.11
3452452452.452452,-63.98
3466466466.4664664,-64.97
3480480480.48048,-63.28
3494494494.4944944,-63.6
3508508508.508508,-63.74
3522522522.5225224,-63.42
3536536536.536536,-64.18
3550550550.5505505,-63.65
3564564564.564564,-63.74
3578578578.5785785,-63.23
3592592592.5925922,-63.6
3606606606.6066065,-64.02
3620620620.6206203,-63.05
3634634634.6346345,-63.19
3648648648.6486483,-63.19
3662662662.6626625,-64.55
3676676676.6766763,-64.33
3690690690.6906905,-64.05
3704704704.7047048,-63.03
3718718718.7187185,-62.75
3732732732.732733,-64.22
3746746746.7467465,-63.67
3760760760.760761,-63.86
3774774774.7747746,-63.82
3788788788.788789,-63.86
3802802802.8028026,-63.54
3816816816.816817,-63.47
3830830830.8308306,-63.92
3844844844.844845,-63.37
3858858858.8588586,-64.22
3872872872.872873,-62.89
3886886886.8868866,-64.14
3900900900.900901,-63.55
3914914914.9149146,-64.13
3928928928.928929,-63.94
3942942942.9429426,-63.97
3956956956.956957,-64.31
3970970970.9709706,-63.93
3984984984.984985,-64.57
3998998998.9989986,-63.93
4013013013.013013,-64.47
4027027027.0270267,-64.44
4041041041.041041,-64.58
4055055055.0550547,-64.19
4069069069.069069,-63.75
4083083083.0830827,-64.22
4097097097.097097,-64.08
4111111111.1111107,-64.04
4125125125.125125,-64.24
4139139139.139139,-63.2
4153153153.153153,-64.29
4167167167.167167,-64.09
4181181181.181181,-64.02
4195195195.195195,-63.33
4209209209.209209,-64.58
4223223223.223223,-63.49
4237237237.237237,-64.33
4251251251.251251,-64.17
4265265265.265265,-63.84
4279279279.279279,-64.1
4293293293.293293,-63.95
4307307307.307307,-64.37
4321321321.3213215,-64.62
4335335335.335335,-64.23
4349349349.349349,-63.77
4363363363.363363,-64.07
4377377377.377377,-64.11
4391391391.391392,-63.26
4405405405.405405,-63.4
4419419419.419419,-63.79
4433433433.433434,-63.52
4447447447.447447,-63.77
4461461461.461461,-63.79
4475475475.475475,-63.25
4489489489.489489,-63.37
4503503503.503504,-63.77
4517517517.517517,-63.49
4531531531.531531,-64.05
4545545545.545546,-63.67
4559559559.559559,-63.35
4573573573.573573,-63.07
4587587587.587587,-62.7
4601601601.601602,-63.08
4615615615.615616,-63.48
4629629629.629629,-63.25
4643643643.643643,-63.02
4657657657.657658,-63.03
4671671671.671671,-63.91
4685685685.685686,-63.32
4699699699.699699,-62.94
4713713713.713714,-62.79
4727727727.727728,-63.09
4741741741.741741,-63.45
4755755755.755755,-63.1
4769769769.76977,-62.61
4783783783.783783,-63.38
4797797797.797798,-63.36
4811811811.811811,-63.26
4825825825.825826,-63.48
4839839839.83984,-63.31
4853853853.853853,-62.55
4867867867.867867,-63.43
4881881881.881882,-63.11
4895895895.895895,-62.72
4909909909.90991,-63.53
4923923923.9239235,-62.66
4937937937.937938,-62.99
4951951951.951952,-63.48
4965965965.965965,-63.46
4979979979.9799795,-63.93
4993993993.993994,-63.64
5008008008.008007,-63.14
5022022022.022022,-63.28
5036036036.036036,-63.73
5050050050.05005,-63.0
5064064064.064064,-62.35
5078078078.078077,-63.36
5092092092.0920925,-62.7
5106106106.106106,-63.09
5120120120.12012,-63.94
5134134134.134134,-62.81
5148148148.148148,-63.35
5162162162.162162,-63.13
5176176176.176176,-63.26
5190190190.190189,-63.06
5204204204.204205,-63.07
5218218218.218218,-62.22
5232232232.232232,-62.82
5246246246.246246,-63.09
5260260260.26026,-62.19
5274274274.274274,-62.69
5288288288.288288,-62.48
5302302302.302302,-62.35
5316316316.316316,-62.31
5330330330.33033,-61.67
5344344344.344344,-62.1
5358358358.358358,-61.98
5372372372.372372,-61.83
5386386386.386386,-62.1
5400400400.4004,-60.69
5414414414.414414,-61.94
5428428428.428428,-61.55
5442442442.442442,-62.13
5456456456.456456,-62.02
5470470470.47047,-61.1
5484484484.484484,-61.34
5498498498.498498,-61.47
5512512512.512512,-61.27
5526526526.526526,-61.42
5540540540.540541,-61.92
5554554554.554554,-60.93
5568568568.568568,-60.85
5582582582.582582,-61.33
5596596596.596597,-60.74
5610610610.61061,-60.77
5624624624.624624,-61.6
5638638638.6386385,-61.01
5652652652.652653,-61.76
5666666666.666666,-61.14
5680680680.68068,-60.78
5694694694.6946945,-61.09
5708708708.708709,-62.19
5722722722.722722,-61.77
5736736736.736736,-61.79
5750750750.750751,-60.36
5764764764.764765,-61.63
5778778778.778778,-61.84
5792792792.792792,-61.04
5806806806.806807,-61.46
5820820820.820821,-61.93
5834834834.834834,-60.95
5848848848.848848,-61.23
5862862862.862863,-61.85
5876876876.876877,-61.52
5890890890.89089,-61.83
5904904904.904904,-61.01
5918918918.918919,-61.31
5932932932.932933,-60.86
5946946946.946947,-61.18
5960960960.96096,-59.58
5974974974.974975,-60.88
5988988988.988989,-60.31
6003003003.003003,-60.93
6017017017.017016,-60.55
6031031031.031031,-60.4
6045045045.045045,-58.68
6059059059.059059,-59.22
6073073073.073072,-59.72
6087087087.087087,-59.46
6101101101.101101,-59.7
6115115115.115115,-59.72
6129129129.129128,-59.53
6143143143.143143,-58.74
6157157157.157157,-58.7
6171171171.171171,-59.19
6185185185.1851845,-58.59
6199199199.199199,-58.64
6213213213.213213,-59.14
6227227227.227227,-58.31
6241241241.2412405,-58.71
6255255255.255255,-58.78
6269269269.269269,-58.95
6283283283.283283,-58.64
6297297297.297297,-58.46
6311311311.311311,-58.63
6325325325.325325,-57.7
6339339339.339339,-58.62
6353353353.353353,-58.67
6367367367.367367,-58.31
6381381381.381381,-57.8
6395395395.395395,-58.25
6409409409.4094095,-57.32
6423423423.423423,-58.57
6437437437.437437,-58.69
6451451451.451451,-58.19
6465465465.465466,-58.74
6479479479.479479,-58.32
6493493493.493493,-58.2
6507507507.507507,-59.28
6521521521.521522,-58.64
6535535535.535535,-58.32
6549549549.549549,-58.31
6563563563.563563,-58.57
6577577577.577578,-58.4
6591591591.591591,-58.29
6605605605.605605,-58.55
6619619619.619619,-58.79
6633633633.633634,-57.78
6647647647.647647,-58.57
6661661661.661661,-58.57
6675675675.675675,-57.41
6689689689.68969,-58.65
6703703703.703703,-58.29
6717717717.717717,-58.44
6731731731.731731,-58.38
6745745745.745746,-58.5
6759759759.759759,-58.94
6773773773.773773,-59.08
6787787787.787787,-58.66
6801801801.801802,-58.31
6815815815.815815,-58.27
6829829829.829829,-58.36
6843843843.843843,-58.5
6857857857.857858,-58.93
6871871871.871872,-58.27
6885885885.885885,-58.46
6899899899.8998995,-58.3
6913913913.913914,-58.09
6927927927.927928,-58.42
6941941941.941941,-58.07
6955955955.9559555,-58.46
6969969969.96997,-58.16
6983983983.983984,-58.47
6997997997.997997,-57.77
7012012012.012012,-58.4
7026026026.026026,-58.41
7040040040.04004,-58.67
7054054054.054053,-58.49
7068068068.068068,-58.61
7082082082.082082,-58.84
7096096096.096096,-58.5
7110110110.110109,-58.55
7124124124.124124,-58.48
7138138138.138138,-58.15
7152152152.152152,-58.85
7166166166.166165,-58.88
7180180180.18018,-58.4
7194194194.194194,-58.4
7208208208.208208,-58.41
7222222222.222221,-58.82
7236236236.236236,-58.8
7250250250.25025,-57.99
7264264264.264264,-58.26
7278278278.278278,-58.62
7292292292.292292,-58.19
7306306306.306306,-58.61
7320320320.32032,-58.97
7334334334.334334,-58.57
7348348348.348348,-58.31
7362362362.362362,-59.17
7376376376.376376,-58.51
7390390390.39039,-58.67
7404404404.404404,-58.67
7418418418.418418,-58.41
7432432432.432432,-59.34
7446446446.446446,-58.5
7460460460.46046,-58.65
7474474474.474474,-58.9
7488488488.488488,-58.52
7502502502.502502,-58.74
7516516516.516516,-58.48
7530530530.53053,-59.05
7544544544.544544,-58.32
7558558558.558558,-58.96
7572572572.572572,-58.26
7586586586.586586,-58.52
7600600600.6006,-57.23
7614614614.6146145,-58.48
7628628628.628628,-58.65
7642642642.642642,-57.69
7656656656.656656,-58.28
7670670670.6706705,-57.8
7684684684.684684,-57.51
7698698698.698698,-58.01
7712712712.712712,-57.59
7726726726.726727,-57.92
7740740740.740741,-57.62
7754754754.754754,-57.22
7768768768.768768,-57.61
7782782782.782783,-57.93
7796796796.796797,-57.41
7810810810.81081,-58.25
7824824824.824824,-58.18
7838838838.838839,-57.9
7852852852.852853,-57.35
7866866866.866866,-57.14
7880880880.88088,-57.95
7894894894.894895,-57.93
7908908908.908909,-57.67
7922922922.922922,-57.88
7936936936.936936,-57.43
7950950950.950951,-57.38
7964964964.964965,-57.29
7978978978.978978,-58.24
7992992992.992992,-57.68
8007007007.007007,-57.58
8021021021.021021,-58.44
8035035035.035034,-58.13
8049049049.049048,-58.1
8063063063.063063,-57.69
8077077077.077077,-58.34
8091091091.09109,-57.86
8105105105.105104,-58.42
8119119119.119119,-58.3
8133133133.133133,-58.59
8147147147.147146,-58.86
8161161161.16116,-58.95
8175175175.175175,-58.73
8189189189.189189,-59.45
8203203203.203203,-59.41
8217217217.2172165,-59.09
8231231231.231231,-59.5
8245245245.245245,-59.35
8259259259.259259,-59.56
8273273273.2732725,-59.27
8287287287.287287,-59.77
8301301301.301301,-59.36
8315315315.315315,-59.28
8329329329.329329,-59.66
8343343343.343343,-59.23
8357357357.357357,-59.65
8371371371.371371,-59.81
8385385385.385385,-59.59
8399399399.399399,-59.61
8413413413.413413,-59.83
8427427427.427427,-59.11
8441441441.441441,-58.9
8455455455.455455,-58.7
8469469469.469469,-60.05
8483483483.483483,-59.7
8497497497.497497,-59.84
8511511511.511511,-59.65
8525525525.525525,-59.79
8539539539.539539,-59.37
8553553553.553553,-59.87
8567567567.567567,-58.71
8581581581.581581,-59.91
8595595595.595596,-59.67
8609609609.609608,-59.69
8623623623.623623,-59.9
8637637637.637638,-59.8
8651651651.651651,-59.75
8665665665.665665,-59.81
8679679679.67968,-59.41
8693693693.693693,-59.89
8707707707.707706,-58.52
8721721721.721722,-59.27
8735735735.735735,-59.48
8749749749.749748,-59.69
8763763763.763763,-59.12
8777777777.777779,-59.15
8791791791.79179,-59.68
8805805805.805805,-59.5
8819819819.81982,-60.12
8833833833.833834,-59.32
8847847847.847847,-58.98
8861861861.861862,-59.35
8875875875.875875,-59.49
8889889889.889889,-59.71
8903903903.903904,-60.04
8917917917.917917,-60.25
8931931931.93193,-60.04
8945945945.945946,-59.94
8959959959.959959,-60.29
8973973973.973972,-60.4
8987987987.987988,-60.16
9002002002.002003,-60.41
9016016016.016014,-60.15
9030030030.03003,-60.15
9044044044.044044,-60.5
9058058058.058058,-60.29
9072072072.072071,-60.32
9086086086.086086,-60.54
9100100100.1001,-60.24
9114114114.114113,-60.97
9128128128.128128,-60.7
9142142142.142141,-61.09
9156156156.156155,-60.75
9170170170.17017,-60.97
9184184184.184185,-61.12
9198198198.198196,-60.81
9212212212.212212,-60.67
9226226226.226227,-60.46
9240240240.24024,-60.33
9254254254.254253,-59.96
9268268268.268269,-60.85
9282282282.282282,-61.07
9296296296.296295,-60.75
9310310310.31031,-60.9
9324324324.324324,-61.43
9338338338.338337,-60.99
9352352352.352352,-60.93
9366366366.366365,-60.8
9380380380.380379,-60.18
9394394394.394394,-60.99
9408408408.40841,-60.89
9422422422.42242,-60.17
9436436436.436436,-60.81
9450450450.45045,-60.53
9464464464.464464,-60.7
9478478478.478477,-60.81
9492492492.492493,-61.23
9506506506.506506,-60.57
9520520520.52052,-60.7
9534534534.534534,-60.04
9548548548.548548,-59.46
9562562562.562561,-60.82
9576576576.576576,-60.12
9590590590.59059,-59.97
9604604604.604605,-60.26
9618618618.618618,-60.54
9632632632.632631,-60.53
9646646646.646646,-60.11
9660660660.66066,-60.01
9674674674.674675,-60.95
9688688688.688688,-60.92
9702702702.702702,-60.37
9716716716.716717,-60.1
9730730730.73073,-60.23
9744744744.744743,-60.45
9758758758.758759,-60.11
9772772772.772772,-61.02
9786786786.786787,-60.51
9800800800.8008,-60.48
9814814814.814814,-60.3
9828828828.828829,-61.34
9842842842.842842,-60.58
9856856856.856855,-60.65
9870870870.87087,-60.77
9884884884.884884,-60.41
9898898898.8989,-61.11
9912912912.912912,-61.11
9926926926.926926,-61.14
9940940940.94094,-61.16
9954954954.954954,-61.26
9968968968.968967,-60.9
9982982982.982983,-60.84
9996996996.996996,-60.66
10011011011.011011,-61.13
10025025025.025024,-61.17
10039039039.039038,-61.61
10053053053.053053,-60.9
10067067067.067066,-60.95
10081081081.081081,-61.14
10095095095.095095,-60.94
10109109109.109108,-60.9
10123123123.123123,-61.18
10137137137.137136,-61.22
10151151151.15115,-61.24
10165165165.165165,-60.71
10179179179.179178,-61.27
10193193193.193193,-60.69
10207207207.207207,-61.07
10221221221.22122,-61.75
10235235235.235235,-61.39
10249249249.249249,-60.84
10263263263.263262,-61.21
10277277277.277277,-61.18
10291291291.29129,-61.58
10305305305.305305,-61.12
10319319319.319319,-61.7
10333333333.333332,-61.44
10347347347.347347,-61.63
10361361361.36136,-60.88
10375375375.375374,-61.67
10389389389.389389,-61.76
10403403403.403402,-61.76
10417417417.417418,-61.8
10431431431.43143,-61.49
10445445445.445444,-61.46
10459459459.45946,-61.09
10473473473.473473,-61.96
10487487487.487488,-61.75
10501501501.501501,-61.46
10515515515.515514,-61.67
10529529529.52953,-61.26
10543543543.543543,-61.33
10557557557.557556,-61.95
10571571571.571571,-61.57
10585585585.585585,-61.46
10599599599.5996,-61.77
10613613613.613613,-61.58
10627627627.627626,-61.12
10641641641.641642,-61.19
10655655655.655655,-61.71
10669669669.669668,-61.38
10683683683.683683,-61.39
10697697697.697697,-61.68
10711711711.711712,-61.36
10725725725.725725,-61.26
10739739739.739738,-61.2
10753753753.753754,-61.31
10767767767.767767,-61.75
10781781781.78178,-61.33
10795795795.795795,-61.32
10809809809.809809,-61.46
10823823823.823824,-61.19
10837837837.837837,-61.47
10851851851.85185,-61.58
10865865865.865866,-61.17
10879879879.879879,-61.43
10893893893.893894,-61.49
10907907907.907907,-61.47
10921921921.92192,-61.57
10935935935.935936,-61.35
10949949949.94995,-61.14
10963963963.963963,-61.39
10977977977.977978,-61.36
10991991991.991991,-61.38
11006006006.006006,-60.99
11020020020.02002,-61.22
11034034034.034033,-61.21
11048048048.048048,-60.51
11062062062.062061,-61.0
11076076076.076075,-60.81
11090090090.09009,-60.44
11104104104.104103,-60.83
11118118118.118118,-60.28
11132132132.132132,-59.59
11146146146.146145,-60.6
11160160160.16016,-60.94
11174174174.174173,-60.87
11188188188.188187,-60.18
11202202202.202202,-60.73
11216216216.216215,-60.68
11230230230.23023,-60.63
11244244244.244244,-60.83
11258258258.258257,-60.76
11272272272.272272,-60.63
11286286286.286285,-60.23
11300300300.300299,-60.59
11314314314.314314,-60.76
11328328328.328327,-60.56
11342342342.342342,-59.9
11356356356.356356,-60.96
11370370370.370369,-60.25
11384384384.384384,-60.48
11398398398.398397,-60.61
11412412412.412413,-60.45
11426426426.426426,-60.55
11440440440.44044,-60.78
11454454454.454454,-61.11
11468468468.468468,-60.31
11482482482.482481,-60.5
11496496496.496496,-60.62
11510510510.51051,-60.41
11524524524.524525,-60.31
11538538538.538538,-60.18
11552552552.552551,-60.06
11566566566.566566,-60.14
11580580580.58058,-60.36
11594594594.594593,-60.24
11608608608.608608,-60.14
11622622622.622622,-60.36
11636636636.636637,-59.97
11650650650.65065,-59.92
11664664664.664663,-60.38
11678678678.678679,-59.99
11692692692.692692,-60.42
11706706706.706705,-60.47
11720720720.72072,-60.08
11734734734.734734,-60.2
11748748748.748749,-60.11
11762762762.762762,-60.19
11776776776.776775,-59.78
11790790790.79079,-59.96
11804804804.804804,-59.63
11818818818.818819,-60.35
11832832832.832832,-60.8
11846846846.846846,-60.02
11860860860.86086,-60.95
11874874874.874874,-60.41
11888888888.888887,-60.24
11902902902.902903,-59.85
11916916916.916916,-60.46
11930930930.930931,-58.34
11944944944.944944,-57.92
11958958958.958958,-58.97
11972972972.972973,-58.52
11986986986.986986,-59.0
12001001001.001,-58.88
12015015015.015015,-59.21
12029029029.029028,-58.61
12043043043.043043,-58.66
12057057057.057056,-59.0
12071071071.07107,-58.33
12085085085.085085,-58.75
12099099099.099098,-58.8
12113113113.113111,-58.39
12127127127.127127,-58.74
12141141141.14114,-58.22
12155155155.155155,-58.63
12169169169.169168,-59.1
12183183183.183182,-58.4
12197197197.197197,-59.03
12211211211.21121,-59.0
12225225225.225225,-57.06
12239239239.239239,-57.6
12253253253.253252,-58.62
12267267267.267267,-58.34
12281281281.28128,-58.98
12295295295.295294,-59.04
12309309309.309309,-59.16
12323323323.323322,-58.43
12337337337.337337,-58.88
12351351351.35135,-59.3
12365365365.365364,-58.79
12379379379.37938,-58.9
12393393393.393393,-59.25
12407407407.407406,-58.29
12421421421.421421,-58.53
12435435435.435434,-59.31
12449449449.44945,-59.48
12463463463.463463,-58.79
12477477477.477476,-58.36
12491491491.491491,-59.43
12505505505.505505,-59.23
12519519519.519518,-57.83
12533533533.533533,-58.63
12547547547.547546,-59.23
12561561561.561562,-58.33
12575575575.575575,-59.2
12589589589.589588,-59.04
12603603603.603603,-59.14
12617617617.617617,-58.72
12631631631.63163,-59.78
12645645645.645645,-59.17
12659659659.659658,-58.74
12673673673.673674,-58.96
12687687687.687687,-59.22
12701701701.7017,-59.09
12715715715.715715,-59.81
12729729729.729729,-59.23
12743743743.743744,-58.59
12757757757.757757,-59.36
12771771771.77177,-59.5
12785785785.785786,-58.92
12799799799.799799,-58.86
12813813813.813812,-58.58
12827827827.827827,-58.67
12841841841.84184,-59.15
12855855855.855856,-59.18
12869869869.86987,-58.79
12883883883.883883,-58.37
12897897897.897898,-59.2
12911911911.911911,-58.61
12925925925.925924,-58.13
12939939939.93994,-58.73
12953953953.953953,-58.3
12967967967.967968,-58.65
12981981981.981981,-58.72
12995995995.995995,-59.07
13010010010.01001,-58.52
13024024024.024023,-58.57
13038038038.038036,-59.44
13052052052.052052,-58.57
13066066066.066065,-58.98
13080080080.08008,-58.84
13094094094.094093,-58.22
13108108108.108107,-57.7
13122122122.122122,-58.63
13136136136.136135,-58.24
13150150150.15015,-58.26
13164164164.164164,-58.03
13178178178.178177,-58.9
13192192192.192192,-58.88
13206206206.206205,-58.65
13220220220.220219,-58.59
13234234234.234234,-58.35
13248248248.248247,-58.22
13262262262.262262,-58.37
13276276276.276276,-58.39
13290290290.290289,-58.67
13304304304.304304,-58.77
13318318318.318317,-58.66
13332332332.33233,-58.96
13346346346.346346,-58.69
13360360360.36036,-58.58
13374374374.374374,-58.27
13388388388.388388,-58.61
13402402402.402401,-58.28
13416416416.416416,-58.57
13430430430.43043,-58.81
13444444444.444443,-58.37
13458458458.458458,-58.4
13472472472.472471,-58.51
13486486486.486486,-57.49
13500500500.5005,-57.38
13514514514.514513,-57.68
13528528528.528528,-58.19
13542542542.542542,-57.78
13556556556.556557,-58.32
13570570570.57057,-58.65
13584584584.584583,-58.39
13598598598.598598,-57.9
13612612612.612612,-58.77
13626626626.626625,-58.18
13640640640.64064,-58.5
13654654654.654654,-58.07
13668668668.668669,-58.29
13682682682.682682,-58.07
13696696696.696695,-57.97
13710710710.71071,-57.6
13724724724.724724,-58.43
13738738738.738737,-58.49
13752752752.752752,-57.42
13766766766.766766,-58.54
13780780780.78078,-58.26
13794794794.794794,-57.64
13808808808.808807,-58.1
13822822822.822823,-57.8
13836836836.836836,-58.38
13850850850.85085,-57.56
13864864864.864864,-57.53
13878878878.878878,-58.34
13892892892.892893,-58.38
13906906906.906906,-58.08
13920920920.92092,-58.13
13934934934.934935,-58.25
13948948948.948948,-57.97
13962962962.962961,-58.21
13976976976.976976,-58.43
13990990990.99099,-57.87
14005005005.005005,-58.38
14019019019.019018,-58.44
14033033033.033031,-58.09
14047047047.047047,-58.33
14061061061.06106,-58.44
14075075075.075075,-58.56
14089089089.089088,-57.63
14103103103.103102,-58.3
14117117117.117117,-58.8
14131131131.13113,-59.01
14145145145.145144,-58.91
14159159159.159159,-59.05
14173173173.173172,-58.71
14187187187.187187,-59.06
14201201201.2012,-59.01
14215215215.215214,-59.05
14229229229.229229,-58.47
14243243243.243242,-58.41
14257257257.257256,-58.24
14271271271.27127,-58.98
14285285285.285284,-58.82
14299299299.2993,-59.4
14313313313.313313,-58.57
14327327327.327326,-58.64
14341341341.341341,-59.33
14355355355.355354,-58.88
14369369369.369368,-59.08
14383383383.383383,-58.5
14397397397.397396,-58.78
14411411411.411411,-59.09
14425425425.425425,-58.53
14439439439.439438,-59.04
