time_utc,satellite,sat_alt_deg,sat_az_deg,target_alt_deg,target_az_deg,angular_sep_deg,gain_percent
2026-01-13T19:00:46+00:00,NAVSTAR 69 (USA 248),74.11714899431148,76.36660039153506,72.71127688967624,82.44697186899587,2.231835184214511,73.25920512102797
2026-01-13T19:00:47+00:00,NAVSTAR 69 (USA 248),74.11276757603811,76.39098324130784,72.71441221640673,82.4483662129339,2.222077023552133,73.46367729553921
2026-01-13T19:00:48+00:00,NAVSTAR 69 (USA 248),74.10838405821774,76.41535511905064,72.71754755325267,82.4497605444403,2.2123208759758675,73.66768045257986
2026-01-13T19:00:49+00:00,NAVSTAR 69 (USA 248),74.10399844238236,76.43971602809724,72.72068290021298,82.45115486351742,2.202566768511752,73.87120901232855
2026-01-13T19:00:50+00:00,NAVSTAR 69 (USA 248),74.09961073007821,76.46406597172899,72.72381825728392,82.45254917016614,2.192814728683042,74.07425740102721
2026-01-13T19:00:51+00:00,NAVSTAR 69 (USA 248),74.09522092283281,76.48840495328572,72.72695362446352,82.4539434643882,2.183064784476475,74.27682005212183
2026-01-13T19:00:52+00:00,NAVSTAR 69 (USA 248),74.09082902218924,76.51273297606491,72.73008900175165,82.45533774618609,2.173316964393158,74.47889140564398
2026-01-13T19:00:53+00:00,NAVSTAR 69 (USA 248),74.08643502967374,76.53705004343004,72.73322438914553,82.45673201556136,2.163571297420793,74.6804659092345
2026-01-13T19:00:54+00:00,NAVSTAR 69 (USA 248),74.0820389468204,76.56135615871194,72.73635978664316,82.45812627251557,2.1538278130779096,74.88153801767787
2026-01-13T19:00:55+00:00,NAVSTAR 69 (USA 248),74.07764077515684,76.5856513252793,72.73949519424167,82.45952051705012,2.1440865414030195,75.08210219358456
2026-01-13T19:00:56+00:00,NAVSTAR 69 (USA 248),74.07324051622778,76.60993554644827,72.74263061194097,82.46091474916759,2.1343475129974316,75.2821529069717
2026-01-13T19:00:57+00:00,NAVSTAR 69 (USA 248),74.06883817155112,76.63420882561167,72.74576603973813,82.46230896886935,2.1246107589872154,75.4816846365148
2026-01-13T19:00:58+00:00,NAVSTAR 69 (USA 248),74.06443374266688,76.65847116610996,72.74890147763129,82.46370317615708,2.1148763110892514,75.68069186866502
2026-01-13T19:00:59+00:00,NAVSTAR 69 (USA 248),74.06002723109336,76.68272257135067,72.75203692561755,82.46509737103217,2.105144201574672,75.87916909887944
2026-01-13T19:01:00+00:00,NAVSTAR 69 (USA 248),74.05561863836154,76.70696304471726,72.7551723836968,82.46649155349719,2.0954144633187877,76.07711083108583
2026-01-13T19:01:01+00:00,NAVSTAR 69 (USA 248),74.05120796600737,76.73119258958195,72.75830785186615,82.46788572355341,2.085687129810436,76.2745115779881
2026-01-13T19:01:02+00:00,NAVSTAR 69 (USA 248),74.04679521554469,76.75541120936339,72.76144333012374,82.46927988120261,2.075962235135775,76.47136586189404
2026-01-13T19:01:03+00:00,NAVSTAR 69 (USA 248),74.04238038851437,76.77961890742921,72.76457881846756,82.47067402644664,2.0662398140427536,76.66766821391488
2026-01-13T19:01:04+00:00,NAVSTAR 69 (USA 248),74.03796348642166,76.80381568724947,72.76771431689468,82.47206815928668,2.056519901886149,76.86341317558957
2026-01-13T19:01:05+00:00,NAVSTAR 69 (USA 248),74.03354451080563,76.8280015521963,72.77084982540514,82.4734622797254,2.046802534723831,77.05859529746162
2026-01-13T19:01:06+00:00,NAVSTAR 69 (USA 248),74.02912346317524,76.85217650574478,72.7739853439959,82.47485638776405,2.0370877492550656,77.25320914085012
2026-01-13T19:01:07+00:00,NAVSTAR 69 (USA 248),74.02470034506678,76.87634055128092,72.77712087266521,82.47625048340446,2.0273755829096856,77.44724927659367
2026-01-13T19:01:08+00:00,NAVSTAR 69 (USA 248),74.02027515799989,76.90049369226408,72.78025641141004,82.47764456664797,2.017666073803944,77.6407102864796
2026-01-13T19:01:09+00:00,NAVSTAR 69 (USA 248),74.01584790348812,76.92463593214316,72.78339196023032,82.47903863749706,2.007959260779311,77.83358676301656
2026-01-13T19:01:10+00:00,NAVSTAR 69 (USA 248),74.01141858305002,76.94876727438216,72.7865275191233,82.4804326959531,1.9982551834234004,78.025873309576
2026-01-13T19:01:11+00:00,NAVSTAR 69 (USA 248),74.00698719821365,76.97288772242374,72.78966308808691,82.4818267420179,1.9885538820966255,78.21756454043218
2026-01-13T19:01:12+00:00,NAVSTAR 69 (USA 248),74.00255375049387,76.99699727974561,72.79279866711832,82.4832207756927,1.9788553979262657,78.40865508145498
2026-01-13T19:01:13+00:00,NAVSTAR 69 (USA 248),73.99811824140892,77.02109594981373,72.79593425621744,82.48461479698017,1.969159772841436,78.59913957000231
2026-01-13T19:01:14+00:00,NAVSTAR 69 (USA 248),73.99368067246749,77.0451837361395,72.79906985538132,82.48600880588145,1.9594670495768827,78.78901265543794
2026-01-13T19:01:15+00:00,NAVSTAR 69 (USA 248),73.9892410451906,77.0692606421927,72.80220546460815,82.48740280239849,1.9497772717198643,78.97826899881359
2026-01-13T19:01:16+00:00,NAVSTAR 69 (USA 248),73.9847993610978,77.09332667145911,72.80534108389499,82.48879678653255,1.9400904837146316,79.16690327339609
